lsoa_code,Region name,rDERI_score_0_10,rDERI_decile,broadband_score_z,deprivation_score_z,demography_score_z
E01000006,London,1.034337982263762,2,-0.2680054226404487,-0.032381333752858996,-0.8741767946000882
E01000007,London,0.9960410253274841,2,-0.5805383068797187,0.13064409825345033,-0.9667386461204864
E01000009,London,1.2803331619916762,7,-0.17456621200392589,0.41625663539067365,0.13864455143484522
E01000011,London,1.1679483535073372,5,-0.29444292403176303,0.36847540402409495,-0.4040649734665804
E01000013,London,1.2025914946677105,5,-0.4342244595290885,0.5777916303837307,-0.2546255804486897
E01000014,London,1.217545014241517,6,-0.5186445623687047,0.7478748298696875,-0.24576972933851668
E01000015,London,1.1233063528019818,4,-0.3581063829981994,0.36243373699140524,-0.6165352183953093
E01000016,London,1.2215120637723056,6,-0.2856960597145704,0.6496015153956307,-0.35536979420080766
E01000017,London,1.2954376825448641,7,-0.40345079697552516,0.8354454578033456,0.0438137162257615
E01000018,London,1.1927536669995196,5,-0.5209440392894236,0.7120580403569485,-0.36435583944018307
E01000019,London,1.1981953959502023,5,-0.3935340482877249,0.473856416823502,-0.21916785681466378
E01000020,London,1.352616735693113,8,-0.27705879082871315,0.7809205069472926,0.33336685439589125
E01000021,London,1.2259235942849527,6,-0.30863049823924343,0.6573099949226477,-0.3122592144626563
E01000022,London,1.187342020712327,5,-0.4054396863072094,0.6663992787181809,-0.46840763288683607
E01000023,London,1.0871557660789035,3,-0.6015301298454198,0.6832541996007745,-0.9224343546733135
E01000024,London,1.1335720127950863,4,-0.5652233729579834,0.5265930174565654,-0.5086898163554447
E01000025,London,1.2032617032685762,5,-0.49680626007866646,0.8386810027568716,-0.44869686452618085
E01000028,London,1.3378041984267028,8,-0.3667900787418086,0.7756544696271046,0.3347363598296358
E01000029,London,1.276734943520947,7,-0.26497388891269097,0.3676438166615466,0.25492124940204325
E01000032,London,1.1749970872302693,5,-0.3637581015429816,0.21439832830686112,-0.13611873472193944
E01000033,London,1.24261332342121,6,-0.39005988095583405,0.8614259142467079,-0.32945248384870696
E01000034,London,1.2818636436277528,7,-0.5795935000126243,0.4282046493741297,0.5413977696501906
E01000036,London,1.0262041445583343,2,-0.5866036990423501,0.07488902399701733,-0.7142616405045737
E01000037,London,1.0949212143933214,3,-0.5002256173003642,0.2322263868336806,-0.5236268238182361
E01000038,London,1.163930860281912,5,-0.5001920245945156,0.23217858030575353,-0.08741301950878455
E01000040,London,1.2475409205524486,6,-0.39753905038844684,0.6843366815347234,-0.11373748149979851
E01000041,London,1.1928038166570096,5,-0.38601567269388415,0.6056669116377672,-0.3925760888755981
E01000042,London,1.157317214383786,4,-0.2563188623646166,0.7293884729601142,-0.8702999352192308
E01000043,London,1.1860896370454446,5,-0.25077770025692303,0.3545601569194139,-0.31914662589967646
E01000044,London,1.1181743578141368,4,-0.32928096787371125,0.3251421006390282,-0.640507565475613
E01000045,London,1.1583035819440375,4,-0.23301966971089363,0.5220464057818593,-0.6800223797263847
E01000046,London,1.159311193186854,4,-0.5496686378480414,0.5495536797975994,-0.38451172651487214
E01000048,London,1.1933979428060641,5,-0.1662310174386167,0.4987513327008105,-0.5016897831805903
E01000049,London,1.2216054930370615,6,-0.25443602110043184,0.6684211852361839,-0.4048589503276148
E01000050,London,1.2434187566096384,6,-0.24592856205488345,0.3807176298706476,0.012215503648521217
E01000051,London,1.1800010886513943,5,-0.28811483015058453,0.3523723213271491,-0.3181064589074971
E01000052,London,1.2764408012013768,7,-0.2297684772996028,0.648713108211945,-0.06321268311538915
E01000053,London,1.297708568666567,7,-0.30882568722943593,0.6635880610072391,0.13539993283990828
E01000054,London,1.156567670196243,4,-0.42347821758200294,0.4202486386670633,-0.3987385017637413
E01000055,London,1.0933168726349192,3,-0.8091364374661435,0.5420716338332319,-0.534702053564498
E01000056,London,1.2024599900256878,5,-0.4638160425105866,0.6261376268735946,-0.27421121501693785
E01000057,London,1.1504625675202327,4,-0.3315368008871145,0.4113029143416869,-0.5203236297529967
E01000059,London,1.2565692941715336,7,-0.43977764513611683,0.5826275836257926,0.0872772026578127
E01000060,London,1.2317425380333047,6,-0.43185905384980533,0.5403603791491742,-0.03530037499349777
E01000062,London,1.1664083221315034,5,-0.5102877269615823,0.4145001381730977,-0.2439792113442979
E01000063,London,1.1696120256871054,5,-0.5537377930018138,0.5520853116111658,-0.31786419050277787
E01000065,London,1.4260419097538262,9,-0.4061221541853446,0.5772870382963274,1.13017316623553
E01000066,London,1.1436492610784534,4,-0.4695879626593813,0.03381033946192515,-0.047845778188497556
E01000067,London,1.1380910442841767,4,-0.5616558207166318,0.2822087753159058,-0.23930900821499912
E01000068,London,1.1551877049985753,4,-0.42603456371161963,0.1842127558377757,-0.1688688252300622
E01000069,London,1.0735093944410774,3,-0.5277813007908713,-0.07705115295490546,-0.322134493460641
E01000070,London,1.0501486554062018,2,-0.5003788905342483,-0.028637129990034416,-0.5456106439475401
E01000071,London,1.178099185120371,5,-0.2166583829855445,0.025237589786015553,-0.07444982064618359
E01000073,London,1.1842846898122774,5,-0.5337944335861017,0.6222161866108702,-0.31519472220319383
E01000074,London,1.1474809087070645,4,-0.5916385293972467,0.4275451540010119,-0.2953107577269834
E01000075,London,1.221596746378058,6,-0.5322701679730383,0.7004327102019989,-0.15909161473661873
E01000076,London,1.223667590437165,6,-0.5497714152784621,0.8533319251454385,-0.28140008859569104
E01000077,London,1.261470763618469,7,-0.49255491551558,0.7672297651155436,-0.013566257410237759
E01000079,London,1.2659769944645558,7,-0.45735534997023436,0.46389652248333846,0.28305062697894456
E01000080,London,1.145342858186257,4,-0.5298671739975507,0.4544929459313442,-0.3975442007704431
E01000081,London,1.1823627158506331,5,-0.4477055925186599,0.6704284769968645,-0.46164436194415504
E01000082,London,1.1825005862397164,5,-0.43226084693537925,0.462455989682661,-0.2682451622237862
E01000083,London,1.2169585166151238,6,-0.493341810054898,0.6868960413126296,-0.21380085636440493
E01000084,London,1.1616490593877034,5,-0.4707976855649753,0.6101696749707011,-0.5092213734024915
E01000085,London,1.2055508862519073,5,-0.39747293950623996,0.6430047744871078,-0.3378843755547722
E01000086,London,1.2121630391395943,6,-0.5269439782385569,0.7388384800849678,-0.2624526186885192
E01000088,London,1.1584890944307364,4,-0.4223871522766525,0.29096635817170624,-0.2584022530288357
E01000089,London,1.1243354750788905,4,-0.44338841936501233,0.4661962241778934,-0.628510742114304
E01000090,London,1.1082086452729618,3,-0.3436059555835727,0.3343253319514208,-0.698357578901066
