lsoa_code,lsoa21nm,msoa21cd,msoa21nm,lad22cd,lad22nm,dpi_score,dpi_ci_lower,dpi_ci_upper,imd_score,imd_income_score,imd_employ_score,imd_edu_score,imd_health_score,imd_crime_score,imd_barriers_score,imd_livenv_score,imd_pop2015,bb_q_dl_core,bb_q_ul_core,bb_q_sfu_core,crime_count_window,crime_rate_per_1000_window,crime_rate_per_1000_window_log1p
E01000011,Barking and Dagenham 016C,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,0.97,,,30.679,0.16700000000000004,0.081,22.519,-0.137,0.526,52.948,39.857,1670,122.15,94.55,100.0,134.0,80.23952095808383,4.397401840068554
E01000046,Barking and Dagenham 017D,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,0.961,,,29.763,0.17,0.111,28.185,0.222,-0.026,45.338,30.26,1963,170.32,97.42,100.0,70.0,35.65970453387672,3.601678182746694
E01000051,Barking and Dagenham 021D,E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,0.977,0.976,0.979,36.941,0.234,0.13,28.197,0.391,0.859,45.996,27.521,1144,111.67999999999999,55.08,100.0,166.0,145.1048951048951,4.984324823362344
E01000077,Barking and Dagenham 008F,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,0.954,,,41.032,0.251,0.159,33.494,0.725,0.487,44.143,35.02,1487,153.92000000000002,99.66,99.84,94.0,63.21452589105582,4.162229445088278
E01000083,Barking and Dagenham 007F,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,0.945,,,34.377,0.196,0.134,27.072,0.361,0.43399999999999994,44.245,35.395,1888,164.6,100.0,100.0,107.0,56.67372881355932,4.054801763306464
E01032580,Barking and Dagenham 023F,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,0.966,,,34.123,0.191,0.132,22.768,0.527,0.892,43.804,24.616,1394,113.4,92.525,100.0,183.0,131.27690100430416,4.8848974602938355
E01000006,Barking and Dagenham 016A,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,0.975,,,19.837,0.117,0.059,14.798,-0.359,-0.147,45.171,26.888,2040,132.22,78.76,100.0,75.0,36.76470588235294,3.631374959633745
E01000009,Barking and Dagenham 016B,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,0.952,,,32.844,0.187,0.109,15.713,0.454,0.895,48.119,28.601,1775,120.62,94.76,99.82000000000001,236.0,132.95774647887325,4.89752442544107
E01000022,Barking and Dagenham 008B,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,0.949,,,34.413,0.195,0.139,27.111,0.42699999999999994,0.506,44.277,30.435,1372,140.575,97.425,100.0,80.0,58.309037900874635,4.082761704186012
E01000074,Barking and Dagenham 012C,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,0.944,,,35.044,0.234,0.128,32.398,0.461,0.005,47.408,22.806,1610,174.14000000000001,99.7,100.0,103.0,63.975155279503106,4.174004970359298
E01000084,Barking and Dagenham 013D,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,0.95,,,39.815,0.229,0.141,36.839,0.338,1.309,43.432,28.534,1355,161.15,99.35,100.0,170.0,125.46125461254611,4.839935973604076
E01000089,Barking and Dagenham 020D,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,0.974,,,28.968,0.156,0.092,25.246,-0.154,0.18900000000000003,47.25399999999999,40.955,1879,155.8,100.0,100.0,125.0,66.52474720596062,4.212494155961351
E01000097,Barking and Dagenham 023C,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,0.949,,,38.009,0.223,0.131,32.926,0.8079999999999999,0.468,47.096,28.566,1815,111.28,91.34,99.78,129.0,71.07438016528926,4.277698643630244
