lsoa_code,dpi_score,dpi_z,lisa_I,lisa_p,lisa_class,gistar_z,gistar_p,gistar_class
E01000011,0.97,0.7078432072165008,0.37804526133342214,0.2,Not sig,1.0012060363335065,0.1,Not sig
E01000046,0.961,0.18655511651456103,0.009590118035163927,0.89,Not sig,0.15560855717412878,0.45,Not sig
E01000051,0.977,1.1132894999846763,0.5945862242805041,0.27,Not sig,1.5353812456986249,0.05,Not sig
E01000077,0.954,-0.21889117625361443,0.08051487942468144,0.55,Not sig,-0.7594815808507998,0.82,Not sig
E01000083,0.945,-0.7401792669555542,0.024828795058531056,0.83,Not sig,-0.7033905060935537,0.81,Not sig
E01032580,0.966,0.47615961134897206,0.2046643012869567,0.35,Not sig,0.5341002519150687,0.27,Not sig
E01000006,0.975,0.9974477020509118,0.22940877295448958,0.42,Not sig,1.1622776777254349,0.11,Not sig
E01000009,0.952,-0.33473297418737885,-0.2214280341866583,0.3,Not sig,0.27435266791107976,0.4,Not sig
E01000022,0.949,-0.5084956710880254,-0.05804681117918538,0.76,Not sig,-0.4160872263026342,0.66,Not sig
E01000074,0.944,-0.7981001659224365,0.10997973338067359,0.45,Not sig,-0.9622855559925639,0.84,Not sig
E01000084,0.95,-0.4505747721211432,0.038974965624208754,0.83,Not sig,-0.5307306344228128,0.74,Not sig
E01000089,0.974,0.9395268030840297,0.17527353221771907,0.44,Not sig,0.9191433025335363,0.14,Not sig
E01000097,0.949,-0.5084956710880254,-0.10222560076442094,0.55,Not sig,-0.2537416867201574,0.59,Not sig
E01000113,0.966,0.47615961134897206,0.12330450270092952,0.55,Not sig,0.5544392791648487,0.21,Not sig
E01034470,0.967,0.5340805103158542,0.014565787815105764,0.86,Not sig,0.48215021725543467,0.32,Not sig
E01000012,0.985,1.576656691719734,0.776832058401122,0.04,HH (hotspot),2.600937533009818,0.01,Hotspot (Gi*)
E01000017,0.957,-0.04512847935296781,0.019898107285095265,0.81,Not sig,-0.4878324948467256,0.68,Not sig
E01000024,0.96,0.12863421754767881,-0.03560750470370223,0.77,Not sig,-0.31056964419312516,0.61,Not sig
E01000038,0.94,-1.0297837617899652,0.8417525915560842,0.04,LL (coldspot),-1.5788094261632506,0.94,Not sig
E01000040,0.946,-0.682258367988672,-0.0087277353284068,0.92,Not sig,-0.5385403364027016,0.71,Not sig
E01000041,0.962,0.2444760154814432,-0.013864884935441617,0.95,Not sig,0.2127431264815315,0.44,Not sig
