lsoa_code,region,lad_name,dpi_score,dpi_ci_upper,dpi_ci_lower
E01000001,London,City of London,0.97,,
E01000002,London,City of London,0.978,,
E01000003,London,City of London,0.946,,
E01000005,London,City of London,0.938,,
E01000006,London,Barking and Dagenham,0.975,,
E01000007,London,Barking and Dagenham,0.972,0.973,0.97
E01000008,London,Barking and Dagenham,0.96,,
E01000009,London,Barking and Dagenham,0.952,,
E01000010,London,Barking and Dagenham,0.989,,
E01000011,London,Barking and Dagenham,0.97,,
E01000012,London,Barking and Dagenham,0.985,,
E01000013,London,Barking and Dagenham,0.955,,
E01000014,London,Barking and Dagenham,0.959,,
E01000015,London,Barking and Dagenham,0.978,,
E01000016,London,Barking and Dagenham,0.951,,
E01000017,London,Barking and Dagenham,0.957,,
E01000018,London,Barking and Dagenham,0.95,,
E01000019,London,Barking and Dagenham,0.967,,
E01000020,London,Barking and Dagenham,0.971,,
E01000021,London,Barking and Dagenham,0.941,,
E01000022,London,Barking and Dagenham,0.949,,
E01000023,London,Barking and Dagenham,0.956,0.958,0.954
E01000024,London,Barking and Dagenham,0.96,,
E01000025,London,Barking and Dagenham,0.958,,
E01000027,London,Barking and Dagenham,0.952,,
E01000028,London,Barking and Dagenham,0.936,,
E01000029,London,Barking and Dagenham,0.925,,
E01000030,London,Barking and Dagenham,0.968,,
E01000031,London,Barking and Dagenham,0.938,,
E01000032,London,Barking and Dagenham,0.951,,
E01000033,London,Barking and Dagenham,0.942,,
E01000034,London,Barking and Dagenham,0.908,,
E01000035,London,Barking and Dagenham,0.954,,
E01000036,London,Barking and Dagenham,0.953,,
E01000037,London,Barking and Dagenham,0.938,,
E01000038,London,Barking and Dagenham,0.94,,
E01000039,London,Barking and Dagenham,0.96,,
E01000040,London,Barking and Dagenham,0.946,,
E01000041,London,Barking and Dagenham,0.962,,
E01000042,London,Barking and Dagenham,0.955,0.958,0.953
E01000043,London,Barking and Dagenham,0.953,,
E01000044,London,Barking and Dagenham,0.958,,
E01000045,London,Barking and Dagenham,0.956,,
E01000046,London,Barking and Dagenham,0.961,,
E01000048,London,Barking and Dagenham,0.968,0.969,0.966
E01000049,London,Barking and Dagenham,0.961,0.962,0.959
E01000050,London,Barking and Dagenham,0.944,0.947,0.941
E01000051,London,Barking and Dagenham,0.977,0.979,0.976
E01000052,London,Barking and Dagenham,0.964,,
E01000053,London,Barking and Dagenham,0.958,,
E01000054,London,Barking and Dagenham,0.939,,
E01000055,London,Barking and Dagenham,0.965,,
E01000056,London,Barking and Dagenham,0.968,,
E01000057,London,Barking and Dagenham,0.953,,
E01000058,London,Barking and Dagenham,0.978,,
E01000059,London,Barking and Dagenham,0.945,,
E01000060,London,Barking and Dagenham,0.934,,
E01000061,London,Barking and Dagenham,0.945,,
E01000062,London,Barking and Dagenham,0.954,,
E01000063,London,Barking and Dagenham,0.951,,
E01000064,London,Barking and Dagenham,0.955,,
E01000065,London,Barking and Dagenham,0.941,,
E01000066,London,Barking and Dagenham,0.962,,
E01000067,London,Barking and Dagenham,0.974,,
E01000068,London,Barking and Dagenham,0.971,,
E01000069,London,Barking and Dagenham,0.966,,
E01000070,London,Barking and Dagenham,0.968,,
E01000071,London,Barking and Dagenham,0.966,,
E01000072,London,Barking and Dagenham,0.953,,
E01000073,London,Barking and Dagenham,0.948,,
E01000074,London,Barking and Dagenham,0.944,,
E01000075,London,Barking and Dagenham,0.958,,
E01000076,London,Barking and Dagenham,0.959,,
E01000077,London,Barking and Dagenham,0.954,,
E01000078,London,Barking and Dagenham,0.954,,
E01000079,London,Barking and Dagenham,0.94,,
