lsoa_code,major_cat,crime_count_window
E01000006,ARSON AND CRIMINAL DAMAGE,3
E01000006,BURGLARY,3
E01000006,DRUG OFFENCES,3
E01000006,MISCELLANEOUS CRIMES AGAINST SOCIETY,3
E01000006,POSSESSION OF WEAPONS,1
E01000006,PUBLIC ORDER OFFENCES,4
E01000006,ROBBERY,1
E01000006,THEFT,12
E01000006,VEHICLE OFFENCES,11
E01000006,VIOLENCE AGAINST THE PERSON,34
E01000007,ARSON AND CRIMINAL DAMAGE,37
E01000007,BURGLARY,13
E01000007,DRUG OFFENCES,51
E01000007,MISCELLANEOUS CRIMES AGAINST SOCIETY,4
E01000007,POSSESSION OF WEAPONS,4
E01000007,PUBLIC ORDER OFFENCES,56
E01000007,ROBBERY,35
E01000007,THEFT,142
E01000007,VEHICLE OFFENCES,10
E01000007,VIOLENCE AGAINST THE PERSON,225
E01000008,ARSON AND CRIMINAL DAMAGE,13
E01000008,BURGLARY,3
E01000008,DRUG OFFENCES,30
E01000008,MISCELLANEOUS CRIMES AGAINST SOCIETY,4
E01000008,POSSESSION OF WEAPONS,2
E01000008,PUBLIC ORDER OFFENCES,5
E01000008,ROBBERY,4
E01000008,THEFT,27
E01000008,VEHICLE OFFENCES,27
E01000008,VIOLENCE AGAINST THE PERSON,56
E01000009,ARSON AND CRIMINAL DAMAGE,19
E01000009,BURGLARY,14
E01000009,DRUG OFFENCES,23
E01000009,MISCELLANEOUS CRIMES AGAINST SOCIETY,1
E01000009,POSSESSION OF WEAPONS,1
E01000009,PUBLIC ORDER OFFENCES,19
E01000009,ROBBERY,11
E01000009,THEFT,47
E01000009,VEHICLE OFFENCES,15
E01000009,VIOLENCE AGAINST THE PERSON,86
E01000011,ARSON AND CRIMINAL DAMAGE,11
E01000011,BURGLARY,5
E01000011,DRUG OFFENCES,10
E01000011,MISCELLANEOUS CRIMES AGAINST SOCIETY,5
E01000011,POSSESSION OF WEAPONS,0
E01000011,PUBLIC ORDER OFFENCES,3
E01000011,ROBBERY,6
E01000011,THEFT,18
E01000011,VEHICLE OFFENCES,8
E01000011,VIOLENCE AGAINST THE PERSON,68
E01000012,ARSON AND CRIMINAL DAMAGE,6
E01000012,BURGLARY,3
E01000012,DRUG OFFENCES,36
E01000012,MISCELLANEOUS CRIMES AGAINST SOCIETY,2
E01000012,POSSESSION OF WEAPONS,4
E01000012,PUBLIC ORDER OFFENCES,9
E01000012,ROBBERY,6
E01000012,THEFT,23
E01000012,VEHICLE OFFENCES,24
E01000012,VIOLENCE AGAINST THE PERSON,73
E01000013,ARSON AND CRIMINAL DAMAGE,17
E01000013,BURGLARY,15
E01000013,DRUG OFFENCES,15
E01000013,MISCELLANEOUS CRIMES AGAINST SOCIETY,7
E01000013,POSSESSION OF WEAPONS,2
E01000013,PUBLIC ORDER OFFENCES,16
E01000013,ROBBERY,30
E01000013,THEFT,60
E01000013,VEHICLE OFFENCES,25
E01000013,VIOLENCE AGAINST THE PERSON,82
E01000014,ARSON AND CRIMINAL DAMAGE,9
E01000014,BURGLARY,4
E01000014,DRUG OFFENCES,10
E01000014,MISCELLANEOUS CRIMES AGAINST SOCIETY,3
E01000014,POSSESSION OF WEAPONS,1
E01000014,PUBLIC ORDER OFFENCES,2
E01000014,ROBBERY,10
E01000014,THEFT,17
E01000014,VEHICLE OFFENCES,19
E01000014,VIOLENCE AGAINST THE PERSON,65
E01000015,ARSON AND CRIMINAL DAMAGE,16
E01000015,BURGLARY,11
E01000015,DRUG OFFENCES,15
E01000015,MISCELLANEOUS CRIMES AGAINST SOCIETY,1
E01000015,POSSESSION OF WEAPONS,1
E01000015,PUBLIC ORDER OFFENCES,7
E01000015,ROBBERY,6
E01000015,THEFT,17
E01000015,VEHICLE OFFENCES,19
E01000015,VIOLENCE AGAINST THE PERSON,55
E01000016,ARSON AND CRIMINAL DAMAGE,7
E01000016,BURGLARY,2
E01000016,DRUG OFFENCES,6
E01000016,MISCELLANEOUS CRIMES AGAINST SOCIETY,2
E01000016,PUBLIC ORDER OFFENCES,3
E01000016,ROBBERY,1
E01000016,THEFT,14
E01000016,VEHICLE OFFENCES,11
E01000016,VIOLENCE AGAINST THE PERSON,26
E01000017,ARSON AND CRIMINAL DAMAGE,10
E01000017,BURGLARY,4
E01000017,DRUG OFFENCES,1
E01000017,MISCELLANEOUS CRIMES AGAINST SOCIETY,3
E01000017,PUBLIC ORDER OFFENCES,7
E01000017,ROBBERY,2
E01000017,THEFT,10
E01000017,VEHICLE OFFENCES,14
E01000017,VIOLENCE AGAINST THE PERSON,47
E01000018,ARSON AND CRIMINAL DAMAGE,6
E01000018,BURGLARY,2
E01000018,DRUG OFFENCES,1
E01000018,MISCELLANEOUS CRIMES AGAINST SOCIETY,1
E01000018,POSSESSION OF WEAPONS,0
E01000018,PUBLIC ORDER OFFENCES,5
E01000018,ROBBERY,1
E01000018,THEFT,8
E01000018,VEHICLE OFFENCES,11
E01000018,VIOLENCE AGAINST THE PERSON,35
E01000019,ARSON AND CRIMINAL DAMAGE,5
E01000019,BURGLARY,7
E01000019,DRUG OFFENCES,8
E01000019,MISCELLANEOUS CRIMES AGAINST SOCIETY,4
E01000019,PUBLIC ORDER OFFENCES,4
E01000019,ROBBERY,7
E01000019,THEFT,10
E01000019,VEHICLE OFFENCES,20
E01000019,VIOLENCE AGAINST THE PERSON,41
E01000020,ARSON AND CRIMINAL DAMAGE,8
E01000020,BURGLARY,2
E01000020,DRUG OFFENCES,7
E01000020,MISCELLANEOUS CRIMES AGAINST SOCIETY,2
E01000020,POSSESSION OF WEAPONS,0
E01000020,PUBLIC ORDER OFFENCES,0
E01000020,ROBBERY,3
E01000020,THEFT,11
E01000020,VEHICLE OFFENCES,19
E01000020,VIOLENCE AGAINST THE PERSON,35
E01000021,ARSON AND CRIMINAL DAMAGE,12
E01000021,BURGLARY,6
E01000021,DRUG OFFENCES,11
E01000021,MISCELLANEOUS CRIMES AGAINST SOCIETY,2
E01000021,POSSESSION OF WEAPONS,0
E01000021,PUBLIC ORDER OFFENCES,9
E01000021,ROBBERY,1
E01000021,THEFT,17
E01000021,VEHICLE OFFENCES,17
E01000021,VIOLENCE AGAINST THE PERSON,88
E01000022,ARSON AND CRIMINAL DAMAGE,5
E01000022,BURGLARY,6
E01000022,DRUG OFFENCES,2
E01000022,MISCELLANEOUS CRIMES AGAINST SOCIETY,4
E01000022,POSSESSION OF WEAPONS,1
E01000022,PUBLIC ORDER OFFENCES,0
E01000022,ROBBERY,1
E01000022,THEFT,8
E01000022,VEHICLE OFFENCES,10
E01000022,VIOLENCE AGAINST THE PERSON,43
