lsoa_code,imd_score,imd_income_score,imd_employ_score,imd_edu_score,imd_health_score,imd_crime_score,imd_barriers_score,imd_livenv_score,imd_pop2015
E01000001,6.208,0.007000000000000001,0.01,0.024,-1.654,-2.012,29.472,31.873,1296
E01000002,5.143,0.034,0.027,0.063,-1.115,-2.343,24.412,23.084,1156
E01000003,19.402,0.086,0.086,5.804,-0.102,-1.032,40.103,40.535,1350
E01000005,28.652,0.211,0.136,22.26,-0.121,-1.317,39.9,28.979,1121
E01000006,19.837,0.117,0.059,14.798,-0.359,-0.147,45.171,26.888,2040
E01000007,31.576000000000004,0.207,0.107,11.385,-0.027,0.846,50.42,25.995,2101
E01000008,37.596,0.265,0.151,25.506,0.25,0.353,45.413000000000004,30.233000000000004,1566
E01000009,32.844,0.187,0.109,15.713,0.454,0.895,48.119,28.601,1775
E01000011,30.679,0.16700000000000004,0.081,22.519,-0.137,0.526,52.948,39.857,1670
E01000012,34.714,0.239,0.096,19.774,-0.056,0.542,56.507,36.881,2023
E01000013,38.997,0.213,0.145,24.003,0.67,1.199,45.252,30.423999999999996,1747
E01000014,35.67,0.20099999999999998,0.135,31.501,0.35,0.825,46.135,25.122,1669
E01000015,33.632,0.216,0.12299999999999998,26.013,0.025,0.372,50.4,25.696,2372
E01000016,32.839,0.199,0.122,28.996,0.373,0.528,43.772,24.95,1750
E01000017,39.004,0.25,0.169,22.898999999999997,0.6939999999999998,0.317,45.929,27.688000000000002,1516
E01000018,33.406,0.212,0.136,26.358,0.273,0.457,43.512,25.659,1791
E01000019,33.62,0.194,0.138,26.111,0.477,0.645,41.248,26.826,1498
E01000020,36.035,0.216,0.131,24.184,0.76,0.651,43.518,30.078,1947
E01000021,38.888,0.23,0.136,31.637,0.41800000000000004,0.559,45.544000000000004,44.214000000000006,1682
E01000022,34.413,0.195,0.139,27.111,0.42699999999999994,0.506,44.277,30.435,1372
