lsoa_code,lsoa21nm,msoa21cd,msoa21nm,lad22cd,lad22nm,dpi_score,dpi_ci_lower,dpi_ci_upper,imd_score,imd_income_score,imd_employ_score,imd_edu_score,imd_health_score,imd_crime_score,imd_barriers_score,imd_livenv_score,imd_pop2015,bb_q_dl_core,bb_q_ul_core,bb_q_sfu_core,crime_count_window,crime_rate_per_1000_window,crime_rate_per_1000_window_log1p,pct_no_qual,pct_level4plus,pct_low_skill,risk_edu_low,risk_edu_highskill_inverse
E01000011,Barking and Dagenham 016C,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,0.97,,,30.679,0.16700000000000004,0.081,22.519,-0.137,0.526,52.948,39.857,1670,122.15,94.55,100.0,134.0,80.23952095808383,4.397401840068554,25.417298937784523,32.16995447647951,37.177541729893775,37.177541729893775,67.83004552352048
E01000046,Barking and Dagenham 017D,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,0.961,,,29.763,0.17,0.111,28.185,0.222,-0.026,45.338,30.26,1963,170.32,97.42,100.0,70.0,35.65970453387672,3.601678182746694,23.986254295532646,32.508591065292094,34.63917525773196,34.63917525773196,67.4914089347079
E01000051,Barking and Dagenham 021D,E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,0.977,0.976,0.979,36.941,0.234,0.13,28.197,0.391,0.859,45.996,27.521,1144,111.67999999999999,55.08,100.0,166.0,145.1048951048951,4.984324823362344,11.548223350253807,54.18781725888325,17.258883248730964,17.258883248730964,45.81218274111675
E01000077,Barking and Dagenham 008F,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,0.954,,,41.032,0.251,0.159,33.494,0.725,0.487,44.143,35.02,1487,153.92000000000002,99.66,99.84,94.0,63.21452589105582,4.162229445088278,25.968992248062015,27.364341085271317,34.883720930232556,34.883720930232556,72.63565891472868
E01000083,Barking and Dagenham 007F,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,0.945,,,34.377,0.196,0.134,27.072,0.361,0.43399999999999994,44.245,35.395,1888,164.6,100.0,100.0,107.0,56.67372881355932,4.054801763306464,28.034682080924856,26.445086705202314,39.16184971098266,39.16184971098266,73.55491329479769
E01032580,Barking and Dagenham 023F,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,0.966,,,34.123,0.191,0.132,22.768,0.527,0.892,43.804,24.616,1394,113.4,92.525,100.0,183.0,131.27690100430416,4.8848974602938355,24.196428571428573,28.57142857142857,37.142857142857146,37.142857142857146,71.42857142857143
E01000006,Barking and Dagenham 016A,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,0.975,,,19.837,0.117,0.059,14.798,-0.359,-0.147,45.171,26.888,2040,132.22,78.76,100.0,75.0,36.76470588235294,3.631374959633745,20.643806857942618,34.919524142757176,31.490552834149753,31.490552834149753,65.08047585724282
E01000009,Barking and Dagenham 016B,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,0.952,,,32.844,0.187,0.109,15.713,0.454,0.895,48.119,28.601,1775,120.62,94.76,99.82000000000001,236.0,132.95774647887325,4.89752442544107,24.946846208362864,33.59319631467045,36.85329553508151,36.85329553508151,66.40680368532955
E01000022,Barking and Dagenham 008B,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,0.949,,,34.413,0.195,0.139,27.111,0.42699999999999994,0.506,44.277,30.435,1372,140.575,97.425,100.0,80.0,58.309037900874635,4.082761704186012,22.851919561243143,31.901279707495426,33.089579524680076,33.089579524680076,68.09872029250457
E01000074,Barking and Dagenham 012C,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,0.944,,,35.044,0.234,0.128,32.398,0.461,0.005,47.408,22.806,1610,174.14000000000001,99.7,100.0,103.0,63.975155279503106,4.174004970359298,25.505443234836704,29.704510108864696,35.14774494556765,35.14774494556765,70.2954898911353
E01000084,Barking and Dagenham 013D,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,0.95,,,39.815,0.229,0.141,36.839,0.338,1.309,43.432,28.534,1355,161.15,99.35,100.0,170.0,125.46125461254611,4.839935973604076,27.767527675276753,28.136531365313655,39.57564575645757,39.57564575645757,71.86346863468634
E01000089,Barking and Dagenham 020D,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,0.974,,,28.968,0.156,0.092,25.246,-0.154,0.18900000000000003,47.25399999999999,40.955,1879,155.8,100.0,100.0,125.0,66.52474720596062,4.212494155961351,23.575331772053083,32.08430913348946,34.81654957064793,34.81654957064793,67.91569086651054
E01000097,Barking and Dagenham 023C,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,0.949,,,38.009,0.223,0.131,32.926,0.8079999999999999,0.468,47.096,28.566,1815,111.28,91.34,99.78,129.0,71.07438016528926,4.277698643630244,27.058823529411764,27.54325259515571,37.923875432525946,37.923875432525946,72.4567474048443
E01000113,Barking and Dagenham 002F,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,0.966,,,25.268,0.152,0.081,16.983,-0.122,0.708,42.208,26.945,1703,123.64000000000001,94.56,100.0,111.0,65.17909571344687,4.192364638354281,18.99148657498363,34.83955468238376,28.945645055664706,28.945645055664706,65.16044531761624
E01034470,Barking and Dagenham 004G,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,0.967,,,25.691,0.12,0.084,22.485,-0.199,0.8909999999999999,39.755,34.149,1871,168.31,96.1,96.2,70.0,37.41314804917156,3.648399798103009,23.24521422060164,33.54603463992707,34.275296262534184,34.275296262534184,66.45396536007293
E01000012,Barking and Dagenham 015D,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,0.985,,,34.714,0.239,0.096,19.774,-0.056,0.542,56.507,36.881,2023,86.63,33.68,99.78,186.0,91.94265941670785,4.531982737586893,19.63151207115629,39.135959339263025,29.860228716645487,29.860228716645487,60.864040660736975
E01000017,Barking and Dagenham 009C,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,0.957,,,39.004,0.25,0.169,22.898999999999997,0.6939999999999998,0.317,45.929,27.688000000000002,1516,168.42000000000002,100.0,100.0,98.0,64.64379947229551,4.184243148036887,25.15290519877676,29.740061162079513,37.53822629969419,37.53822629969419,70.25993883792049
E01000024,Barking and Dagenham 008D,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,0.96,,,29.339,0.155,0.1,29.298000000000002,0.263,0.24399999999999997,45.704,29.869,1535,153.05,97.75,100.0,99.0,64.49511400651465,4.18197554453845,23.745519713261647,30.0179211469534,35.93189964157706,35.93189964157706,69.9820788530466
E01000038,Barking and Dagenham 003C,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,0.94,,,19.646,0.127,0.079,18.702,-0.103,0.204,27.945,27.001,1446,158.85999999999999,99.24,100.0,124.0,85.75380359612724,4.463074263354281,23.268482490272373,28.871595330739297,34.70817120622568,34.70817120622568,71.1284046692607
E01000040,Barking and Dagenham 019A,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,0.946,,,34.608,0.218,0.123,31.332,0.155,0.607,45.801,29.323,1711,138.92000000000002,97.97999999999999,100.0,137.0,80.07013442431327,4.395314637124716,30.687455705173633,28.70304748405386,40.39688164422395,40.39688164422395,71.29695251594615
E01000041,Barking and Dagenham 017A,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,0.962,,,33.173,0.172,0.10500000000000001,33.867,0.349,0.432,48.606,33.127,1755,158.1,99.84,100.0,80.0,45.58404558404558,3.8412581130687204,25.39797395079595,31.25904486251809,35.89001447178003,35.89001447178003,68.7409551374819
E01000043,Barking and Dagenham 019B,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,0.953,,,28.075,0.147,0.085,28.946000000000005,0.044,0.574,42.921,33.853,1516,136.525,78.175,89.75,81.0,53.43007915567282,3.9969169267105817,23.934426229508198,33.114754098360656,34.34426229508197,34.34426229508197,66.88524590163934
E01000050,Barking and Dagenham 019C,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,0.944,0.941,0.947,34.701,0.176,0.114,22.642,0.61,0.74,48.003,36.588,1933,119.55999999999999,81.28,100.0,107.0,55.3543714433523,4.031659814111342,21.08345534407028,37.62811127379209,30.30746705710102,30.30746705710102,62.37188872620791
E01000058,Barking and Dagenham 018D,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,0.978,,,31.763,0.199,0.117,25.845,0.147,0.358,46.251,27.809,2022,135.01666666666668,86.38333333333333,86.38333333333333,108.0,53.41246290801187,3.996593225196803,22.844556324732537,31.780994336060413,35.053492762743865,35.053492762743865,68.21900566393958
E01000076,Barking and Dagenham 012E,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,0.959,,,36.246,0.208,0.148,36.193,0.097,0.287,49.87,27.02,2047,167.35,99.38333333333333,100.0,108.0,52.760136785539814,3.9845322405855375,30.79754601226994,28.098159509202453,40.920245398773005,40.920245398773005,71.90184049079755
E01000081,Barking and Dagenham 007D,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,0.956,,,30.608,0.162,0.116,30.952,0.225,0.192,43.718,32.758,1831,157.28,99.4,100.0,72.0,39.32277444019661,3.6969164319165273,22.059800664451828,29.43521594684385,34.48504983388705,34.48504983388705,70.56478405315615
E01000082,Barking and Dagenham 007E,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,0.945,,,27.895,0.158,0.113,31.053,-0.111,-0.221,43.176,30.006,1953,159.48000000000002,93.38,100.0,120.0,61.443932411674346,4.134269072710809,24.444444444444443,29.72222222222222,32.84722222222222,32.84722222222222,70.27777777777777
E01000085,Barking and Dagenham 013E,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,0.953,0.951,0.955,35.154,0.189,0.124,36.259,-0.227,1.036,46.139,32.465,1829,149.54000000000002,93.17999999999999,100.0,136.0,74.35757244395845,4.322244416956781,26.10797743755036,28.60596293311845,37.711522965350525,37.711522965350525,71.39403706688155
E01000086,Barking and Dagenham 013F,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,0.957,,,38.156,0.21799999999999997,0.142,28.502999999999997,0.8900000000000001,0.868,42.757,26.281,1383,168.05,99.6,99.8,88.0,63.629790310918295,4.1686754548152365,25.0,28.66300366300366,36.81318681318682,36.81318681318682,71.33699633699634
E01000025,Barking and Dagenham 008E,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,0.958,,,36.702,0.219,0.138,25.691000000000003,0.395,0.837,47.02900000000001,28.042,1637,165.12,100.0,100.0,83.0,50.70250458155162,3.945506224858425,28.13793103448276,31.03448275862069,37.24137931034483,37.24137931034483,68.9655172413793
E01000028,Barking and Dagenham 001B,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,0.936,,,40.078,0.26,0.155,27.699,1.138,-0.11099999999999999,48.625,16.282,1629,129.85999999999999,86.28,100.0,111.0,68.13996316758748,4.236132901771143,24.29837518463811,32.64401772525849,34.26883308714919,34.26883308714919,67.3559822747415
