lsoa_code,dpi_score,imd_score,imd_income_score,imd_employ_score,imd_edu_score,imd_health_score,imd_crime_score,imd_barriers_score,imd_livenv_score,imd_pop2015,bb_q_dl_core,bb_q_ul_core,bb_q_sfu_core,crime_count_window,crime_rate_per_1000_window,crime_rate_per_1000_window_log1p,pct_no_qual,pct_level4plus,pct_low_skill,risk_edu_low,risk_edu_highskill_inverse,pct_disabled,pct_limited_a_lot,pct_limited_a_little,pct_long_term_not_limited,pct_no_long_term_condition,risk_disability_limited,fuel_poverty_pct,risk_fuel_poverty,rDERI_score_0_10,rDERI_decile,broadband_score_z,deprivation_score_z,demography_score_z
E01000011,0.97,30.679,0.167,0.081,22.519,-0.137,0.526,52.948,39.857,1670,122.15,94.55,100.0,134.0,80.23952095808383,4.397401840068554,25.417298937784523,32.16995447647951,37.177541729893775,37.177541729893775,67.83004552352048,10.170487948265723,5.526161081716637,4.644326866549089,3.233392122281012,86.59611992945327,10.170487948265723,18.57,18.57,2.7637202044293145,4.0,-0.294442924031763,0.2759314928732789,-0.4040649734665804
E01000046,0.961,29.763,0.17,0.111,28.185,0.222,-0.026,45.338,30.26,1963,170.32,97.42,100.0,70.0,35.65970453387672,3.601678182746694,23.98625429553265,32.508591065292094,34.63917525773196,34.63917525773196,67.4914089347079,14.570552147239264,7.413087934560328,7.157464212678937,3.220858895705521,82.20858895705521,14.570552147239264,14.76,14.76,2.828753647441736,5.0,-0.5496686378480414,0.6881692323498225,-0.3845117265148721
E01000051,0.977,36.941,0.234,0.13,28.197,0.391,0.859,45.996,27.521,1144,111.68,55.08,100.0,166.0,145.1048951048951,4.984324823362344,11.548223350253808,54.18781725888325,17.258883248730964,17.258883248730964,45.81218274111675,6.775067750677506,2.077687443541102,4.697380307136405,2.5293586269196027,90.69557362240288,6.775067750677506,6.95,6.95,2.957004115376203,6.0,-0.2881148301505845,0.7084091418217542,-0.3181064589074971
E01000077,0.954,41.032,0.251,0.159,33.494,0.725,0.487,44.143,35.02,1487,153.92000000000002,99.66,99.84,94.0,63.21452589105582,4.162229445088278,25.968992248062012,27.36434108527132,34.88372093023256,34.88372093023256,72.63565891472868,14.269073966220152,6.87245195107746,7.396622015142691,3.5527082119976705,82.17821782178217,14.269073966220152,15.74,15.74,3.01107646996883,7.0,-0.49255491551558,0.75511503175617,-0.0135662574102377
E01000083,0.945,34.377,0.196,0.134,27.072,0.361,0.4339999999999999,44.245,35.395,1888,164.6,100.0,100.0,107.0,56.67372881355932,4.054801763306464,28.034682080924856,26.445086705202318,39.16184971098266,39.16184971098266,73.55491329479769,17.466110531803963,7.507820646506778,9.958289885297186,3.597497393117831,78.9363920750782,17.466110531803963,16.16,16.16,2.927609151707657,6.0,-0.493341810054898,0.7295234301970093,-0.2138008563644049
E01032580,0.966,34.123,0.191,0.132,22.768,0.527,0.892,43.804,24.616,1394,113.4,92.525,100.0,183.0,131.27690100430416,4.884897460293836,24.196428571428573,28.57142857142857,37.142857142857146,37.142857142857146,71.42857142857143,14.553686934023286,6.9210866752910745,7.632600258732213,3.686934023285899,81.75937904269081,14.553686934023286,16.95,16.95,2.6763675725698564,4.0,-0.2575917124612553,0.2956073553511894,-0.6977537376117828
E01000006,0.975,19.837,0.117,0.059,14.798,-0.359,-0.147,45.171,26.888,2040,132.22,78.76,100.0,75.0,36.76470588235294,3.631374959633745,20.643806857942614,34.919524142757176,31.490552834149756,31.490552834149756,65.08047585724282,11.261505143475906,4.818624796968057,6.442880346507851,2.7612344342176502,85.97726042230644,11.261505143475906,13.98,13.98,2.4933909726650723,2.0,-0.2680054226404487,-0.0143358686257127,-0.8741767946000882
E01000009,0.952,32.844,0.187,0.109,15.713,0.454,0.895,48.119,28.601,1775,120.62,94.76,99.82,236.0,132.95774647887325,4.89752442544107,24.946846208362864,33.59319631467045,36.85329553508151,36.85329553508151,66.40680368532955,12.590127565169162,6.100942872989462,6.4891846921797,2.384914032168608,85.02495840266224,12.590127565169162,13.96,13.96,3.0960956441223617,7.0,-0.1745662120039258,0.5157418906680757,0.1386445514348452
E01000022,0.949,34.413,0.195,0.139,27.111,0.4269999999999999,0.506,44.277,30.435,1372,140.575,97.425,100.0,80.0,58.30903790087464,4.082761704186012,22.851919561243143,31.901279707495423,33.08957952468008,33.08957952468008,68.09872029250457,12.170385395537526,6.085192697768763,6.085192697768763,4.192021636240703,83.63759296822178,12.170385395537526,16.0,16.0,2.8014865076838094,5.0,-0.4054396863072094,0.5538061229294344,-0.468407632886836
E01000074,0.944,35.044,0.234,0.128,32.398,0.461,0.005,47.408,22.806,1610,174.14,99.7,100.0,103.0,63.97515527950311,4.174004970359298,25.505443234836704,29.704510108864696,35.14774494556765,35.14774494556765,70.2954898911353,14.383172256964183,7.049459920409324,7.333712336554861,4.263786242183058,81.35304150085275,14.383172256964183,15.59,15.59,2.7798039168929725,4.0,-0.5916385293972467,0.5080400319566512,-0.2953107577269834
E01000084,0.95,39.815,0.229,0.141,36.839,0.338,1.309,43.432,28.534,1355,161.15,99.35,100.0,170.0,125.46125461254611,4.839935973604076,27.767527675276757,28.13653136531365,39.57564575645757,39.57564575645757,71.86346863468634,15.069444444444445,7.847222222222222,7.222222222222221,3.888888888888889,81.04166666666667,15.069444444444445,16.15,16.15,2.7623244551525703,4.0,-0.4707976855649753,0.5536532063271817,-0.5092213734024915
E01000089,0.974,28.968,0.156,0.092,25.246,-0.154,0.189,47.25399999999999,40.955,1879,155.8,100.0,100.0,125.0,66.52474720596062,4.212494155961351,23.575331772053083,32.08430913348946,34.81654957064793,34.81654957064793,67.91569086651054,9.35960591133005,4.652435686918445,4.707170224411604,4.324028461959497,86.31636562671045,9.35960591133005,16.31,16.31,2.7295253791124283,4.0,-0.4433884193650123,0.5564840822535274,-0.628510742114304
E01000097,0.949,38.009,0.223,0.131,32.926,0.8079999999999999,0.468,47.096,28.566,1815,111.28,91.34,99.78,129.0,71.07438016528926,4.277698643630244,27.058823529411764,27.54325259515571,37.923875432525946,37.923875432525946,72.4567474048443,14.95085359544749,7.656492498706674,7.2943610967408175,4.655975168132437,80.39317123642007,14.95085359544749,16.33,16.33,3.4431794860028524,9.0,-0.2857914146959433,0.7822580536700638,0.9256834190125892
E01000113,0.966,25.268,0.152,0.081,16.983,-0.122,0.708,42.208,26.945,1703,123.64,94.56,100.0,111.0,65.17909571344687,4.192364638354281,18.99148657498363,34.83955468238376,28.945645055664706,28.945645055664706,65.16044531761624,10.71607411116675,4.456685027541312,6.259389083625439,3.755633450175263,85.52829243865799,10.71607411116675,15.78,15.78,2.6460248324720324,3.0,-0.3526879698983771,0.2008216913371996,-0.5902521104985156
E01034470,0.967,25.691,0.12,0.084,22.485,-0.199,0.8909999999999999,39.755,34.149,1871,168.31,96.1,96.2,70.0,37.41314804917156,3.648399798103009,23.24521422060164,33.54603463992707,34.275296262534184,34.275296262534184,66.45396536007293,11.60773849232822,4.869913275517011,6.737825216811208,4.0026684456304205,84.38959306204136,11.60773849232822,15.07,15.07,2.7471083500682028,,,,
E01000012,0.985,34.714,0.239,0.096,19.774,-0.056,0.542,56.507,36.881,2023,86.63,33.68,99.78,186.0,91.94265941670784,4.531982737586893,19.63151207115629,39.13595933926303,29.860228716645487,29.860228716645487,60.864040660736975,10.694503621644651,4.431188751597785,6.263314870046869,2.556455048998722,86.74904132935663,10.694503621644651,8.6,8.6,2.8117491730727986,5.0,-0.0089999685765599,0.6130229811013594,-0.8962011551327528
E01000017,0.957,39.004,0.25,0.169,22.899,0.6939999999999998,0.317,45.929,27.688,1516,168.42000000000002,100.0,100.0,98.0,64.64379947229551,4.184243148036887,25.15290519877676,29.740061162079517,37.53822629969419,37.53822629969419,70.25993883792049,16.22247972190035,7.995365005793744,8.227114716106605,4.8088064889918885,78.96871378910775,16.22247972190035,16.08,16.08,3.114091483613062,7.0,-0.4034507969755251,0.8883158697436031,0.0438137162257615
