lsoa_code,lsoa21nm,msoa21cd,msoa21nm,lad22cd,lad22nm,dpi_score,dpi_ci_lower,dpi_ci_upper,_merge,imd_score,imd_income_score,imd_employ_score,imd_edu_score,imd_health_score,imd_crime_score,imd_barriers_score,imd_livenv_score,imd_pop2015,bb_q_dl_core,bb_q_ul_core,bb_q_sfu_core
E01000011,Barking and Dagenham 016C,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,0.97,,,both,30.679,0.16700000000000004,0.081,22.519,-0.137,0.526,52.948,39.857,1670,122.15,94.55,100.0
E01000046,Barking and Dagenham 017D,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,0.961,,,both,29.763,0.17,0.111,28.185,0.222,-0.026,45.338,30.26,1963,170.32,97.42,100.0
E01000051,Barking and Dagenham 021D,E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,0.977,0.976,0.979,both,36.941,0.234,0.13,28.197,0.391,0.859,45.996,27.521,1144,111.67999999999999,55.08,100.0
E01000077,Barking and Dagenham 008F,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,0.954,,,both,41.032,0.251,0.159,33.494,0.725,0.487,44.143,35.02,1487,153.92000000000002,99.66,99.84
E01000083,Barking and Dagenham 007F,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,0.945,,,both,34.377,0.196,0.134,27.072,0.361,0.43399999999999994,44.245,35.395,1888,164.6,100.0,100.0
E01032580,Barking and Dagenham 023F,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,0.966,,,both,34.123,0.191,0.132,22.768,0.527,0.892,43.804,24.616,1394,113.4,92.525,100.0
E01000006,Barking and Dagenham 016A,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,0.975,,,both,19.837,0.117,0.059,14.798,-0.359,-0.147,45.171,26.888,2040,132.22,78.76,100.0
E01000009,Barking and Dagenham 016B,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,0.952,,,both,32.844,0.187,0.109,15.713,0.454,0.895,48.119,28.601,1775,120.62,94.76,99.82000000000001
E01000022,Barking and Dagenham 008B,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,0.949,,,both,34.413,0.195,0.139,27.111,0.42699999999999994,0.506,44.277,30.435,1372,140.575,97.425,100.0
E01000074,Barking and Dagenham 012C,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,0.944,,,both,35.044,0.234,0.128,32.398,0.461,0.005,47.408,22.806,1610,174.14000000000001,99.7,100.0
E01000084,Barking and Dagenham 013D,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,0.95,,,both,39.815,0.229,0.141,36.839,0.338,1.309,43.432,28.534,1355,161.15,99.35,100.0
E01000089,Barking and Dagenham 020D,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,0.974,,,both,28.968,0.156,0.092,25.246,-0.154,0.18900000000000003,47.25399999999999,40.955,1879,155.8,100.0,100.0
E01000097,Barking and Dagenham 023C,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,0.949,,,both,38.009,0.223,0.131,32.926,0.8079999999999999,0.468,47.096,28.566,1815,111.28,91.34,99.78
E01000113,Barking and Dagenham 002F,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,0.966,,,both,25.268,0.152,0.081,16.983,-0.122,0.708,42.208,26.945,1703,123.64000000000001,94.56,100.0
E01034470,Barking and Dagenham 004G,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,0.967,,,both,25.691,0.12,0.084,22.485,-0.199,0.8909999999999999,39.755,34.149,1871,168.31,96.1,96.2
E01000012,Barking and Dagenham 015D,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,0.985,,,both,34.714,0.239,0.096,19.774,-0.056,0.542,56.507,36.881,2023,86.63,33.68,99.78
E01000017,Barking and Dagenham 009C,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,0.957,,,both,39.004,0.25,0.169,22.898999999999997,0.6939999999999998,0.317,45.929,27.688000000000002,1516,168.42000000000002,100.0,100.0
E01000024,Barking and Dagenham 008D,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,0.96,,,both,29.339,0.155,0.1,29.298000000000002,0.263,0.24399999999999997,45.704,29.869,1535,153.05,97.75,100.0
E01000038,Barking and Dagenham 003C,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,0.94,,,both,19.646,0.127,0.079,18.702,-0.103,0.204,27.945,27.001,1446,158.85999999999999,99.24,100.0
E01000040,Barking and Dagenham 019A,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,0.946,,,both,34.608,0.218,0.123,31.332,0.155,0.607,45.801,29.323,1711,138.92000000000002,97.97999999999999,100.0
E01000041,Barking and Dagenham 017A,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,0.962,,,both,33.173,0.172,0.10500000000000001,33.867,0.349,0.432,48.606,33.127,1755,158.1,99.84,100.0
E01000043,Barking and Dagenham 019B,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,0.953,,,both,28.075,0.147,0.085,28.946000000000005,0.044,0.574,42.921,33.853,1516,136.525,78.175,89.75
E01000050,Barking and Dagenham 019C,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,0.944,0.941,0.947,both,34.701,0.176,0.114,22.642,0.61,0.74,48.003,36.588,1933,119.55999999999999,81.28,100.0
E01000058,Barking and Dagenham 018D,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,0.978,,,both,31.763,0.199,0.117,25.845,0.147,0.358,46.251,27.809,2022,135.01666666666668,86.38333333333333,86.38333333333333
E01000076,Barking and Dagenham 012E,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,0.959,,,both,36.246,0.208,0.148,36.193,0.097,0.287,49.87,27.02,2047,167.35,99.38333333333333,100.0
E01000081,Barking and Dagenham 007D,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,0.956,,,both,30.608,0.162,0.116,30.952,0.225,0.192,43.718,32.758,1831,157.28,99.4,100.0
E01000082,Barking and Dagenham 007E,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,0.945,,,both,27.895,0.158,0.113,31.053,-0.111,-0.221,43.176,30.006,1953,159.48000000000002,93.38,100.0
E01000085,Barking and Dagenham 013E,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,0.953,0.951,0.955,both,35.154,0.189,0.124,36.259,-0.227,1.036,46.139,32.465,1829,149.54000000000002,93.17999999999999,100.0
E01000086,Barking and Dagenham 013F,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,0.957,,,both,38.156,0.21799999999999997,0.142,28.502999999999997,0.8900000000000001,0.868,42.757,26.281,1383,168.05,99.6,99.8
E01000025,Barking and Dagenham 008E,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,0.958,,,both,36.702,0.219,0.138,25.691000000000003,0.395,0.837,47.02900000000001,28.042,1637,165.12,100.0,100.0
E01000028,Barking and Dagenham 001B,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,0.936,,,both,40.078,0.26,0.155,27.699,1.138,-0.11099999999999999,48.625,16.282,1629,129.85999999999999,86.28,100.0
