lsoa_code,bb_q_dl_core,bb_q_ul_core,bb_q_sfu_core
E01000001,110.50833333333334,80.56666666666666,82.35000000000001
E01000002,142.46666666666667,70.08333333333333,78.91666666666667
E01000003,118.04285714285713,86.95714285714287,97.60000000000001
E01000005,108.6,51.875,82.175
E01000006,132.22,78.76,100.0
E01000007,116.41,70.85000000000001,98.75
E01000008,104.425,97.125,97.45
E01000009,120.62,94.76,99.82000000000001
E01000011,122.15,94.55,100.0
E01000012,86.63,33.68,99.78
E01000013,153.18,97.26,100.0
E01000014,156.18333333333334,82.38333333333334,100.0
E01000015,142.7,85.84,99.9
E01000016,136.94,99.47999999999999,99.82000000000001
E01000017,168.42000000000002,100.0,100.0
E01000018,166.21999999999997,99.86,99.86
E01000019,133.9,95.5,100.0
E01000020,122.75999999999999,92.02000000000001,99.86
E01000021,117.66,84.22,97.84
E01000022,140.575,97.425,100.0
E01000024,153.05,97.75,100.0
E01000025,165.12,100.0,100.0
E01000027,139.92000000000002,96.4,98.12
E01000028,129.85999999999999,86.28,100.0
E01000029,125.78333333333335,90.48333333333333,100.0
E01000030,131.48333333333332,90.33333333333333,98.58333333333333
E01000031,136.3,91.08,98.82000000000001
E01000032,130.9,90.84,100.0
E01000033,153.5,99.825,100.0
E01000034,161.925,100.0,100.0
E01000035,168.48,94.62,97.7
E01000036,172.825,99.625,99.8
E01000037,148.6,99.62,100.0
E01000038,158.85999999999999,99.24,100.0
E01000039,176.07999999999998,94.72,96.88
E01000040,138.92000000000002,97.97999999999999,100.0
E01000041,158.1,99.84,100.0
E01000042,110.16,85.42,100.0
E01000043,136.525,78.175,89.75
E01000044,129.84,95.46000000000001,100.0
E01000045,149.84,93.78,99.03999999999999
E01000046,170.32,97.42,100.0
E01000049,114.08,98.84,99.56
E01000050,119.55999999999999,81.28,100.0
E01000051,111.67999999999999,55.08,100.0
E01000052,112.53333333333335,96.2,100.0
E01000053,134.4,99.16,99.84
E01000054,161.7,99.72,100.0
E01000055,207.21999999999997,100.0,100.0
E01000056,171.875,91.275,100.0
E01000057,156.7,99.525,100.0
E01000058,135.01666666666668,86.38333333333333,86.38333333333333
E01000059,153.1,98.1,100.0
E01000060,146.13333333333333,99.13333333333333,99.75
E01000061,142.35999999999999,99.34,99.78
E01000062,176.23333333333335,99.86666666666667,100.0
E01000063,165.64000000000001,100.0,100.0
E01000064,134.68,91.9,97.7
E01000065,146.0,88.7,100.0
E01000066,139.85999999999999,99.28,100.0
E01000067,144.64000000000001,99.84,100.0
E01000068,142.275,96.95,100.0
E01000069,172.9,99.225,100.0
E01000070,145.04000000000002,99.08,100.0
