lsoa_code,ics_score_z,ics_z,lisa_I,lisa_p,lisa_class,gistar_z,gistar_p,gistar_class
E01000011,-0.1346652024922016,-0.21621670112152444,0.013746022101848717,0.89,Not sig,-0.25626769039762476,0.75,Not sig
E01000046,0.0964417347775644,0.15484559751246704,0.07037229562170867,0.66,Not sig,0.7798553747704083,0.51,Not sig
E01000051,-0.545018835382791,-0.8750751675614719,0.12816971230505525,0.66,Not sig,-0.8869298351644932,0.36,Not sig
E01000077,0.50496768353574,0.8107695580333703,0.6660525601636651,0.13,Not sig,1.7132655898398175,0.14,Not sig
E01000083,0.7826704060365618,1.2566454446052662,0.7974877522477688,0.03,HH (hotspot),1.6422792368772496,0.12,Not sig
E01032580,0.1629173207048435,0.26157793540167906,0.030263970583097387,0.87,Not sig,0.712578319021266,0.78,Not sig
E01000006,-0.54247212822165,-0.8709862076006658,-0.046046484345313735,0.84,Not sig,-0.7557992402537578,0.44,Not sig
E01000009,0.4759722651687049,0.7642148906736128,-0.24662735712262399,0.34,Not sig,0.4100339537573253,0.72,Not sig
E01000022,0.5014352140588016,0.8050978708938488,0.3991121481404782,0.35,Not sig,1.1089402144391898,0.26,Not sig
E01000074,0.6738991998048929,1.082003807766807,0.751716390293103,0.09,Not sig,1.456973734969214,0.18,Not sig
E01000084,0.7189669210063395,1.1543639559335597,0.8381207366609132,0.04,HH (hotspot),1.614216569864724,0.16,Not sig
E01000089,-0.3883708446906409,-0.6235631870501475,-0.08780734503758186,0.76,Not sig,-0.3774970160016321,0.68,Not sig
E01000097,0.7282551904218048,1.1692770807421466,0.19857371294137846,0.51,Not sig,1.2416997447019167,0.19,Not sig
E01000113,-0.1986156700018304,-0.31889474165624976,-0.014079652395902857,0.94,Not sig,-0.25563426305260295,0.78,Not sig
E01034470,-0.1684023819954627,-0.2703846786119404,-0.0946461112905779,0.71,Not sig,0.17899500419655215,0.94,Not sig
E01000012,-0.5522356686486427,-0.8866624213761826,0.09480767269254821,0.51,Not sig,-0.9836771013568297,0.33,Not sig
E01000017,0.4087151974206657,0.6562278157168872,0.525100293624439,0.16,Not sig,1.3597792900939616,0.09,Not sig
E01000024,0.1903253698480373,0.3055839433402273,0.25212781467621376,0.35,Not sig,1.2273849381848472,0.28,Not sig
E01000038,0.5954911933937703,0.9561129304355965,0.9678461796661356,0.03,HH (hotspot),1.754988982644236,0.08,Not sig
E01000040,0.6953914813992615,1.1165115361176288,0.38540619804772164,0.37,Not sig,1.1533738149065558,0.18,Not sig
E01000041,0.096400282031191,0.1547790415209606,0.09714024244471112,0.67,Not sig,0.7109510855290561,0.45,Not sig
E01000043,0.4642992203987943,0.7454728015111203,0.4641344307905409,0.12,Not sig,1.4497535288479577,0.16,Not sig
E01000050,0.6669631861964799,1.0708674343489457,-0.06017602713122066,0.77,Not sig,0.7600751843915442,0.41,Not sig
E01000058,-0.2379942334413134,-0.38212045196758876,-0.3438099363137514,0.27,Not sig,0.4392894403204821,0.6,Not sig
E01000076,0.3787187313514627,0.6080658791604672,0.40504741562240953,0.18,Not sig,1.169422604417209,0.22,Not sig
E01000081,0.2137687595133687,0.343224345483743,0.37366137646929604,0.2,Not sig,1.2812179480489856,0.23,Not sig
E01000082,0.5716911781166488,0.917899934838912,0.7987997562242226,0.1,Not sig,1.5244006383041036,0.14,Not sig
E01000085,0.5139883065218244,0.8252529532090849,0.5970060132726933,0.18,Not sig,1.4637973117467988,0.21,Not sig
E01000086,0.3873488020236574,0.6219222086105017,0.5058372986191794,0.24,Not sig,1.3849961240158315,0.21,Not sig
