PC,explained_variance_ratio,cum_explained_variance_ratio
PC1,0.39038286461406263,0.39038286461406263
PC2,0.13692417333320836,0.527307037947271
PC3,0.10823229988977036,0.6355393378370413
PC4,0.06347658472291205,0.6990159225599534
PC5,0.0547942831410043,0.7538102057009577
PC6,0.040832898743673705,0.7946431044446314
PC7,0.03471407264870168,0.829357177093333
PC8,0.02522179364556614,0.8545789707388991
PC9,0.0219056164094786,0.8764845871483777
PC10,0.020162158338602073,0.8966467454869798
PC11,0.01651484579580955,0.9131615912827893
PC12,0.014419976010183059,0.9275815672929724
PC13,0.01367156506482743,0.9412531323577998
PC14,0.012496387681226946,0.9537495200390268
PC15,0.00915540553364448,0.9629049255726713
PC16,0.008504705569888261,0.9714096311425595
PC17,0.008259851516251367,0.9796694826588109
PC18,0.008074719674337105,0.9877442023331481
PC19,0.005406268837323619,0.9931504711704717
PC20,0.0035160849948896646,0.9966665561653614
PC21,0.0014904864892732255,0.9981570426546346
PC22,0.0011998303163466228,0.9993568729709812
PC23,0.00043028429132468813,0.9997871572623058
PC24,0.00017553413001951876,0.9999626913923253
PC25,3.7308607674463614e-05,0.9999999999999998
PC26,6.71598067418014e-18,0.9999999999999998
PC27,3.5638106830871155e-18,0.9999999999999998
PC28,3.1341512197534245e-18,0.9999999999999998
PC29,0.0,0.9999999999999998
PC30,0.0,0.9999999999999998
PC31,0.0,0.9999999999999998
